Step,AgentID,pos,cars_passing
87,20,"(10.0, 0.0)",6
87,21,"(10.0, 2.5)",15
87,22,"(10.0, 5.0)",84
87,23,"(10.0, 7.5)",11
87,24,"(10.0, 10.0)",4
88,0,"(0.0, 0.0)",3
88,1,"(0.0, 2.5)",5
88,2,"(0.0, 5.0)",96
88,3,"(0.0, 7.5)",11
88,4,"(0.0, 10.0)",2
88,5,"(2.5, 0.0)",10
88,6,"(2.5, 2.5)",113
88,7,"(2.5, 5.0)",130
88,8,"(2.5, 7.5)",111
88,9,"(2.5, 10.0)",18
88,10,"(5.0, 0.0)",101
88,11,"(5.0, 2.5)",150
88,12,"(5.0, 5.0)",187
88,13,"(5.0, 7.5)",122
88,14,"(5.0, 10.0)",84
88,15,"(7.5, 0.0)",14
88,16,"(7.5, 2.5)",106
88,17,"(7.5, 5.0)",129
88,18,"(7.5, 7.5)",118
88,19,"(7.5, 10.0)",12
88,20,"(10.0, 0.0)",4
88,21,"(10.0, 2.5)",12
88,22,"(10.0, 5.0)",84
88,23,"(10.0, 7.5)",10
88,24,"(10.0, 10.0)",4
89,0,"(0.0, 0.0)",1
89,1,"(0.0, 2.5)",6
89,2,"(0.0, 5.0)",98
89,3,"(0.0, 7.5)",7
89,4,"(0.0, 10.0)",4
89,5,"(2.5, 0.0)",6
89,6,"(2.5, 2.5)",112
89,7,"(2.5, 5.0)",139
89,8,"(2.5, 7.5)",104
89,9,"(2.5, 10.0)",12
89,10,"(5.0, 0.0)",104
89,11,"(5.0, 2.5)",154
89,12,"(5.0, 5.0)",189
89,13,"(5.0, 7.5)",130
89,14,"(5.0, 10.0)",92
89,15,"(7.5, 0.0)",11
89,16,"(7.5, 2.5)",105
89,17,"(7.5, 5.0)",131
89,18,"(7.5, 7.5)",115
89,19,"(7.5, 10.0)",10
89,20,"(10.0, 0.0)",4
89,21,"(10.0, 2.5)",8
89,22,"(10.0, 5.0)",88
89,23,"(10.0, 7.5)",7
89,24,"(10.0, 10.0)",2
90,0,"(0.0, 0.0)",1
90,1,"(0.0, 2.5)",5
90,2,"(0.0, 5.0)",97
90,3,"(0.0, 7.5)",10
90,4,"(0.0, 10.0)",2
90,5,"(2.5, 0.0)",5
90,6,"(2.5, 2.5)",113
90,7,"(2.5, 5.0)",143
90,8,"(2.5, 7.5)",104
90,9,"(2.5, 10.0)",8
90,10,"(5.0, 0.0)",96
90,11,"(5.0, 2.5)",146
90,12,"(5.0, 5.0)",184
90,13,"(5.0, 7.5)",130
90,14,"(5.0, 10.0)",84
90,15,"(7.5, 0.0)",5
90,16,"(7.5, 2.5)",116
90,17,"(7.5, 5.0)",124
90,18,"(7.5, 7.5)",115
90,19,"(7.5, 10.0)",10
90,20,"(10.0, 0.0)",2
90,21,"(10.0, 2.5)",7
90,22,"(10.0, 5.0)",90
90,23,"(10.0, 7.5)",6
90,24,"(10.0, 10.0)",1
91,0,"(0.0, 0.0)",1
91,1,"(0.0, 2.5)",6
91,2,"(0.0, 5.0)",99
91,3,"(0.0, 7.5)",7
91,4,"(0.0, 10.0)",2
91,5,"(2.5, 0.0)",4
91,6,"(2.5, 2.5)",113
91,7,"(2.5, 5.0)",151
91,8,"(2.5, 7.5)",109
91,9,"(2.5, 10.0)",12
91,10,"(5.0, 0.0)",98
91,11,"(5.0, 2.5)",146
91,12,"(5.0, 5.0)",192
91,13,"(5.0, 7.5)",136
91,14,"(5.0, 10.0)",88
91,15,"(7.5, 0.0)",9
91,16,"(7.5, 2.5)",119
91,17,"(7.5, 5.0)",134
91,18,"(7.5, 7.5)",109
91,19,"(7.5, 10.0)",9
91,20,"(10.0, 0.0)",2
91,21,"(10.0, 2.5)",6
91,22,"(10.0, 5.0)",94
91,23,"(10.0, 7.5)",5
91,24,"(10.0, 10.0)",1
92,0,"(0.0, 0.0)",3
92,1,"(0.0, 2.5)",12
92,2,"(0.0, 5.0)",90
92,3,"(0.0, 7.5)",10
92,4,"(0.0, 10.0)",3
92,5,"(2.5, 0.0)",6
92,6,"(2.5, 2.5)",116
92,7,"(2.5, 5.0)",146
92,8,"(2.5, 7.5)",103
92,9,"(2.5, 10.0)",10
92,10,"(5.0, 0.0)",85
92,11,"(5.0, 2.5)",142
92,12,"(5.0, 5.0)",189
92,13,"(5.0, 7.5)",138
92,14,"(5.0, 10.0)",79
92,15,"(7.5, 0.0)",12
92,16,"(7.5, 2.5)",127
92,17,"(7.5, 5.0)",143
92,18,"(7.5, 7.5)",114
92,19,"(7.5, 10.0)",8
92,20,"(10.0, 0.0)",2
92,21,"(10.0, 2.5)",16
92,22,"(10.0, 5.0)",81
92,23,"(10.0, 7.5)",9
92,24,"(10.0, 10.0)",2
93,0,"(0.0, 0.0)",3
93,1,"(0.0, 2.5)",10
93,2,"(0.0, 5.0)",88
93,3,"(0.0, 7.5)",10
93,4,"(0.0, 10.0)",3
93,5,"(2.5, 0.0)",11
93,6,"(2.5, 2.5)",114
93,7,"(2.5, 5.0)",154
93,8,"(2.5, 7.5)",105
93,9,"(2.5, 10.0)",16
93,10,"(5.0, 0.0)",87
93,11,"(5.0, 2.5)",161
93,12,"(5.0, 5.0)",216
93,13,"(5.0, 7.5)",134
93,14,"(5.0, 10.0)",81
93,15,"(7.5, 0.0)",13
93,16,"(7.5, 2.5)",131
93,17,"(7.5, 5.0)",163
93,18,"(7.5, 7.5)",117
93,19,"(7.5, 10.0)",11
93,20,"(10.0, 0.0)",3
93,21,"(10.0, 2.5)",13
93,22,"(10.0, 5.0)",83
93,23,"(10.0, 7.5)",8
93,24,"(10.0, 10.0)",2
94,0,"(0.0, 0.0)",3
94,1,"(0.0, 2.5)",12
94,2,"(0.0, 5.0)",81
94,3,"(0.0, 7.5)",9
94,4,"(0.0, 10.0)",4
94,5,"(2.5, 0.0)",17
94,6,"(2.5, 2.5)",115
94,7,"(2.5, 5.0)",156
94,8,"(2.5, 7.5)",107
94,9,"(2.5, 10.0)",21
94,10,"(5.0, 0.0)",74
94,11,"(5.0, 2.5)",165
94,12,"(5.0, 5.0)",220
94,13,"(5.0, 7.5)",132
94,14,"(5.0, 10.0)",70
94,15,"(7.5, 0.0)",12
94,16,"(7.5, 2.5)",115
94,17,"(7.5, 5.0)",159
94,18,"(7.5, 7.5)",127
94,19,"(7.5, 10.0)",14
94,20,"(10.0, 0.0)",3
94,21,"(10.0, 2.5)",19
94,22,"(10.0, 5.0)",74
94,23,"(10.0, 7.5)",13
94,24,"(10.0, 10.0)",5
95,0,"(0.0, 0.0)",3
95,1,"(0.0, 2.5)",13
95,2,"(0.0, 5.0)",85
95,3,"(0.0, 7.5)",15
95,4,"(0.0, 10.0)",7
95,5,"(2.5, 0.0)",14
95,6,"(2.5, 2.5)",121
95,7,"(2.5, 5.0)",157
95,8,"(2.5, 7.5)",102
95,9,"(2.5, 10.0)",17
95,10,"(5.0, 0.0)",75
95,11,"(5.0, 2.5)",180
95,12,"(5.0, 5.0)",237
95,13,"(5.0, 7.5)",152
95,14,"(5.0, 10.0)",73
95,15,"(7.5, 0.0)",14
95,16,"(7.5, 2.5)",122
95,17,"(7.5, 5.0)",171
95,18,"(7.5, 7.5)",129
95,19,"(7.5, 10.0)",17
95,20,"(10.0, 0.0)",4
95,21,"(10.0, 2.5)",16
95,22,"(10.0, 5.0)",80
95,23,"(10.0, 7.5)",19
95,24,"(10.0, 10.0)",11
96,0,"(0.0, 0.0)",5
96,1,"(0.0, 2.5)",22
96,2,"(0.0, 5.0)",58
96,3,"(0.0, 7.5)",15
96,4,"(0.0, 10.0)",7
96,5,"(2.5, 0.0)",19
96,6,"(2.5, 2.5)",127
96,7,"(2.5, 5.0)",164
96,8,"(2.5, 7.5)",105
96,9,"(2.5, 10.0)",17
96,10,"(5.0, 0.0)",69
96,11,"(5.0, 2.5)",185
96,12,"(5.0, 5.0)",231
96,13,"(5.0, 7.5)",155
96,14,"(5.0, 10.0)",62
96,15,"(7.5, 0.0)",13
96,16,"(7.5, 2.5)",119
96,17,"(7.5, 5.0)",173
96,18,"(7.5, 7.5)",122
96,19,"(7.5, 10.0)",22
96,20,"(10.0, 0.0)",4
96,21,"(10.0, 2.5)",22
96,22,"(10.0, 5.0)",66
96,23,"(10.0, 7.5)",26
96,24,"(10.0, 10.0)",10
97,0,"(0.0, 0.0)",7
97,1,"(0.0, 2.5)",18
97,2,"(0.0, 5.0)",64
97,3,"(0.0, 7.5)",14
97,4,"(0.0, 10.0)",6
97,5,"(2.5, 0.0)",19
97,6,"(2.5, 2.5)",139
97,7,"(2.5, 5.0)",156
97,8,"(2.5, 7.5)",116
97,9,"(2.5, 10.0)",17
97,10,"(5.0, 0.0)",72
97,11,"(5.0, 2.5)",188
97,12,"(5.0, 5.0)",253
97,13,"(5.0, 7.5)",163
97,14,"(5.0, 10.0)",66
97,15,"(7.5, 0.0)",14
97,16,"(7.5, 2.5)",135
97,17,"(7.5, 5.0)",175
97,18,"(7.5, 7.5)",132
97,19,"(7.5, 10.0)",24
97,20,"(10.0, 0.0)",3
97,21,"(10.0, 2.5)",18
97,22,"(10.0, 5.0)",74
97,23,"(10.0, 7.5)",25
97,24,"(10.0, 10.0)",11
98,0,"(0.0, 0.0)",7
98,1,"(0.0, 2.5)",19
98,2,"(0.0, 5.0)",58
